day,infected_population,recovered_population,city_id,data_role
31,1028.8879821289452,3293.006626762442,city10,evaluation_only
32,1059.2818432277038,3436.9547833885294,city10,evaluation_only
33,1046.413091873823,3586.7422121421796,city10,evaluation_only
34,1050.4398442144,3732.0121283239173,city10,evaluation_only
35,1055.510077534191,3873.08849404005,city10,evaluation_only
36,1038.5875945242776,4011.185982446256,city10,evaluation_only
37,994.589315219812,4166.2024100269555,city10,evaluation_only
38,956.6751039728432,4315.837507544628,city10,evaluation_only
39,915.1611385013633,4463.666962422205,city10,evaluation_only
40,909.260020406195,4575.397561755724,city10,evaluation_only
41,882.8057615704766,4698.871915359243,city10,evaluation_only
42,860.5672733893233,4824.389945343336,city10,evaluation_only
43,846.3658297104951,4926.636990897292,city10,evaluation_only
44,822.5169765589861,5046.651476235462,city10,evaluation_only
45,803.0563852215367,5157.622119117217,city10,evaluation_only
46,767.2248673236438,5282.067966618655,city10,evaluation_only
47,734.0814069265318,5390.571633477792,city10,evaluation_only
48,685.4525938262699,5512.927142082998,city10,evaluation_only
49,655.4986566516626,5623.568174363034,city10,evaluation_only
50,617.5445844208903,5725.782015073261,city10,evaluation_only
51,611.6227240446245,5803.548710696935,city10,evaluation_only
52,594.490650557999,5884.626216153572,city10,evaluation_only
53,560.5709608885791,5976.4702518817385,city10,evaluation_only
54,537.9995573322693,6054.401895408384,city10,evaluation_only
55,521.5673446614825,6136.437256646379,city10,evaluation_only
56,516.3724626069167,6207.952147829197,city10,evaluation_only
57,493.9245023808717,6284.116531108538,city10,evaluation_only
58,484.9764623946694,6343.621481845735,city10,evaluation_only
59,460.03462060724706,6419.5266588603545,city10,evaluation_only
60,444.0822056960367,6481.727989646207,city10,evaluation_only
