day,infected_population,recovered_population,city_id,data_role
31,248.21933216150163,1362.5714536304915,city3,evaluation_only
32,243.42582779239683,1398.2282560447002,city3,evaluation_only
33,251.74713213787973,1431.505563333941,city3,evaluation_only
34,260.2041566587081,1463.5397226858488,city3,evaluation_only
35,268.8580233276048,1491.2849916865332,city3,evaluation_only
36,271.65640511551874,1525.1850834143063,city3,evaluation_only
37,264.61660956092476,1558.3171778172411,city3,evaluation_only
38,273.533073838526,1581.9547377931221,city3,evaluation_only
39,267.9963954977759,1617.4374486962085,city3,evaluation_only
40,252.1015744209895,1658.0404266709186,city3,evaluation_only
41,239.4222875979836,1694.5453582990767,city3,evaluation_only
42,219.3711179964399,1735.190089239693,city3,evaluation_only
43,220.64939250055005,1760.214379996342,city3,evaluation_only
44,215.8844027171754,1786.2454131009604,city3,evaluation_only
45,213.24504743038395,1810.877406582888,city3,evaluation_only
46,207.1652280411264,1838.311192126113,city3,evaluation_only
47,193.99352682940855,1869.2054030477393,city3,evaluation_only
48,185.46271189746506,1893.3887873706813,city3,evaluation_only
49,172.7215179902908,1922.6078412133957,city3,evaluation_only
50,170.97685061640067,1948.7985334110615,city3,evaluation_only
51,159.094107787283,1979.2995200485889,city3,evaluation_only
52,150.65822906841098,2003.477689616255,city3,evaluation_only
53,151.61440072515668,2020.3748673569291,city3,evaluation_only
54,141.51244575793774,2041.3272822926667,city3,evaluation_only
55,135.79175630640157,2059.6773780796125,city3,evaluation_only
56,126.7439994682979,2082.1923555124813,city3,evaluation_only
57,120.26786909176064,2096.4459555100766,city3,evaluation_only
58,109.47052411888656,2115.768159172275,city3,evaluation_only
59,117.01918734287769,2126.880267999594,city3,evaluation_only
60,110.90959000515997,2140.9806060413084,city3,evaluation_only
