day,infected_population,recovered_population,city_id,data_role
31,734.9797117395249,1604.9774595845531,city8,evaluation_only
32,812.9076476073182,1691.8742953186204,city8,evaluation_only
33,815.1457531801959,1840.4727026771957,city8,evaluation_only
34,849.4059032457799,1949.233843147083,city8,evaluation_only
35,883.6247968019716,2072.285949879843,city8,evaluation_only
36,934.9010516264298,2199.6419396007955,city8,evaluation_only
37,988.5732135539471,2334.3433582006537,city8,evaluation_only
38,1043.2230331151122,2468.267872049899,city8,evaluation_only
39,1107.7934628426838,2619.5586134122477,city8,evaluation_only
40,1141.2114469416845,2787.991828572549,city8,evaluation_only
41,1188.3412874971518,2978.0551404981006,city8,evaluation_only
42,1222.409603599465,3154.4996693847565,city8,evaluation_only
43,1290.7219395968743,3330.855403815008,city8,evaluation_only
44,1338.0081760566104,3541.283689418428,city8,evaluation_only
45,1426.2611174997278,3722.9145421872904,city8,evaluation_only
46,1502.7840696414207,3917.103857900482,city8,evaluation_only
47,1543.9339363741994,4148.4655813939335,city8,evaluation_only
48,1594.2616973357444,4382.613064671923,city8,evaluation_only
49,1687.3822839485028,4592.034230224586,city8,evaluation_only
50,1744.413666867174,4833.680513958779,city8,evaluation_only
51,1822.0997153425,5097.249827954442,city8,evaluation_only
52,1883.1656573524303,5370.278856503495,city8,evaluation_only
53,1993.202008448548,5636.719816858073,city8,evaluation_only
54,2033.8460504028797,5948.8452863051325,city8,evaluation_only
55,2111.3721815103913,6223.824762387678,city8,evaluation_only
56,2217.064448284672,6535.688619523967,city8,evaluation_only
57,2275.5455408641124,6858.312900277367,city8,evaluation_only
58,2398.7631382225627,7163.213856900453,city8,evaluation_only
59,2502.5654094858614,7498.4846141306825,city8,evaluation_only
60,2651.0145437320534,7847.4577150884725,city8,evaluation_only
