day,infected_population,recovered_population,city_id,data_role
31,391.5382117974853,675.5241589538672,city4,evaluation_only
32,395.12313782263135,739.0658489864417,city4,evaluation_only
33,419.795237933743,788.4239949885263,city4,evaluation_only
34,432.63435289759076,840.8167689447305,city4,evaluation_only
35,470.8638113259783,904.3132841316876,city4,evaluation_only
36,475.0235925018567,974.4485881325958,city4,evaluation_only
37,512.5976649245749,1034.2374969243403,city4,evaluation_only
38,552.3915132922231,1114.662162703096,city4,evaluation_only
39,557.6237521291507,1189.5121620326336,city4,evaluation_only
40,586.0323284483217,1279.2765456397146,city4,evaluation_only
41,625.191843261223,1361.2366939653084,city4,evaluation_only
42,664.8516939649039,1447.330927840859,city4,evaluation_only
43,688.9289726875583,1533.4277860681084,city4,evaluation_only
44,736.3906826377535,1617.9090311019816,city4,evaluation_only
45,732.602404311959,1747.5636326366866,city4,evaluation_only
46,759.9239152248632,1854.3391926915472,city4,evaluation_only
47,821.9255027373803,1952.1118063920717,city4,evaluation_only
48,863.1291906663905,2072.7375710502715,city4,evaluation_only
49,886.3292480165553,2198.1224560269734,city4,evaluation_only
50,946.1450858755218,2316.7924321728765,city4,evaluation_only
51,990.6423049554046,2445.1692236570384,city4,evaluation_only
52,1011.2420561878012,2600.902013048637,city4,evaluation_only
53,1075.8541727734876,2730.001463441803,city4,evaluation_only
54,1139.2243205746636,2883.9144911310946,city4,evaluation_only
55,1183.7895747746818,3060.2552109766866,city4,evaluation_only
56,1223.5365594074758,3229.5844602724424,city4,evaluation_only
57,1283.1476029913022,3425.2208255477362,city4,evaluation_only
58,1334.0214624158887,3592.090402972534,city4,evaluation_only
59,1399.9810799277968,3797.1856071425154,city4,evaluation_only
60,1485.124863715817,3973.161708680345,city4,evaluation_only
