day,infected_population,recovered_population,city_id,data_role
31,159.88872363234358,347.46794998336395,city2,evaluation_only
32,176.46434200805365,366.9179535368949,city2,evaluation_only
33,190.2596738909698,387.2589415579889,city2,evaluation_only
34,217.7960962527395,415.99146237590355,city2,evaluation_only
35,233.76112625090545,447.53540953364273,city2,evaluation_only
36,243.8608926637335,486.59952879289045,city2,evaluation_only
37,258.5950979335644,517.6030662566932,city2,evaluation_only
38,267.22747914689756,552.9427729949134,city2,evaluation_only
39,295.5233350208761,591.6239878196735,city2,evaluation_only
40,296.83164867163276,630.4190596577815,city2,evaluation_only
41,309.5091330996602,675.6100433459859,city2,evaluation_only
42,292.928033159494,732.1507623373633,city2,evaluation_only
43,327.82840378711796,766.5654676373184,city2,evaluation_only
44,337.93027572545566,814.9372977429751,city2,evaluation_only
45,368.82966376521597,868.8327326048525,city2,evaluation_only
46,383.4896962920215,927.7487658865324,city2,evaluation_only
47,408.2067401431679,977.7550611954406,city2,evaluation_only
48,427.5249340592423,1030.4705682882063,city2,evaluation_only
49,442.21215384386284,1100.5332916828675,city2,evaluation_only
50,446.0423988433355,1175.9958200158596,city2,evaluation_only
51,460.1429356126467,1242.8562717482002,city2,evaluation_only
52,497.58642424612196,1304.6531519263126,city2,evaluation_only
53,512.7245825422655,1385.8345972135198,city2,evaluation_only
54,560.6805250399743,1461.8741242862832,city2,evaluation_only
55,582.5739100394621,1531.8241882092889,city2,evaluation_only
56,626.589983808816,1612.6387266781408,city2,evaluation_only
57,665.4782208635766,1703.10715607965,city2,evaluation_only
58,709.5872586869809,1784.7918117806946,city2,evaluation_only
59,738.233424728048,1883.8159341295343,city2,evaluation_only
60,755.3734857467869,2006.9200957613468,city2,evaluation_only
