day,infected_population,recovered_population,city_id,data_role
1,221.0366606602837,33.490609078574465,city10,dellma_input
2,264.5547511008671,56.466265247921086,city10,dellma_input
3,284.32366083461676,94.0022704578289,city10,dellma_input
4,298.7446682998423,138.12017332303955,city10,dellma_input
5,319.8571852823242,180.5925337231201,city10,dellma_input
6,342.8740664618603,223.5471442899073,city10,dellma_input
7,351.7120088233852,276.0279806241882,city10,dellma_input
8,368.7981192243899,330.5277909959066,city10,dellma_input
9,373.42345732231945,383.1395280869811,city10,dellma_input
10,399.8780762170479,433.15556240503673,city10,dellma_input
11,422.6260375334593,490.4816985431663,city10,dellma_input
12,436.73251919219734,551.5358546347437,city10,dellma_input
13,438.9115261138262,625.4832041634132,city10,dellma_input
14,456.74964827845383,693.9730099514936,city10,dellma_input
15,489.6103498625265,743.6514981520354,city10,dellma_input
16,516.9546613969691,816.8674091001283,city10,dellma_input
17,543.4341732910112,895.0829956124013,city10,dellma_input
18,558.8716874202509,980.0876709381998,city10,dellma_input
19,571.5017115449231,1061.2614508923934,city10,dellma_input
20,623.7611445076471,1118.9869281453593,city10,dellma_input
21,660.2678435597542,1195.1949626250807,city10,dellma_input
22,663.2952523621458,1310.6820915593069,city10,dellma_input
23,675.524637497786,1425.6983569645165,city10,dellma_input
24,725.1416974526279,1526.822545597819,city10,dellma_input
25,761.3628387513917,1649.7075006459665,city10,dellma_input
26,816.0202931127085,1760.5632280357347,city10,dellma_input
27,851.5998432166283,1875.302553652238,city10,dellma_input
28,914.0917649923542,1986.3218700168445,city10,dellma_input
29,955.9489949630945,2106.2295206873664,city10,dellma_input
30,999.7567279571642,2252.806411215226,city10,dellma_input
