t,freq_hz,rocof_hz_s,v_pu_rms,dv_pu_dt_s,f0_hz,model_rel_path,stop_time_s
0.012563436879,60,0,0.715591613922,0.000564929100903,60,"Fourteen_bus.mdl/Fourteen_bus.mdl",10
0.0128355410892,60,0,0.715591762221,0.00052455025635,60,"Fourteen_bus.mdl/Fourteen_bus.mdl",10
0.0131076452994,60,0,0.715591899386,0.000483041121875,60,"Fourteen_bus.mdl/Fourteen_bus.mdl",10
0.0133797495097,60,0,0.715592025096,0.000440378890927,60,"Fourteen_bus.mdl/Fourteen_bus.mdl",10
0.0136518537199,60,0,0.715592139044,0.000396693220535,60,"Fourteen_bus.mdl/Fourteen_bus.mdl",10
0.0139239579301,60,0,0.71559224098,0.000352211752879,60,"Fourteen_bus.mdl/Fourteen_bus.mdl",10
0.0141960621403,60,0,0.715592330721,0.000307221479841,60,"Fourteen_bus.mdl/Fourteen_bus.mdl",10
0.0144681663506,60,0,0.715592408172,0.000262041971585,60,"Fourteen_bus.mdl/Fourteen_bus.mdl",10
0.0147402705608,60,0,0.715592473326,0.000217006054848,60,"Fourteen_bus.mdl/Fourteen_bus.mdl",10
0.015012374771,60,0,0.715592526269,0.000172446583092,60,"Fourteen_bus.mdl/Fourteen_bus.mdl",10
0.0152844789813,60,0,0.715592567173,0.000128687220084,60,"Fourteen_bus.mdl/Fourteen_bus.mdl",10
0.0155565831915,60,0,0.715592596301,8.60356256506e-05,60,"Fourteen_bus.mdl/Fourteen_bus.mdl",10
0.0158286874017,60,0,0.715592613995,4.47792184586e-05,60,"Fourteen_bus.mdl/Fourteen_bus.mdl",10
0.016100791612,60,0,0.71559262067,5.18203410066e-06,60,"Fourteen_bus.mdl/Fourteen_bus.mdl",10
0.0163728958222,60,0,0.715592616815,-3.25175585575e-05,60,"Fourteen_bus.mdl/Fourteen_bus.mdl",10
0.0166450000324,60,0,0.715592602974,-6.81079639106e-05,60,"Fourteen_bus.mdl/Fourteen_bus.mdl",10
0.0169171042427,60,0,0.71559257975,-0.000101405149121,60,"Fourteen_bus.mdl/Fourteen_bus.mdl",10
0.0171892084529,60,0,0.715592547789,-0.000132252995215,60,"Fourteen_bus.mdl/Fourteen_bus.mdl",10
0.0174613126631,60,0,0.715592507777,-0.000160523093483,60,"Fourteen_bus.mdl/Fourteen_bus.mdl",10
0.0177334168733,60,0,0.715592460431,-0.000186114565138,60,"Fourteen_bus.mdl/Fourteen_bus.mdl",10
0.0180055210836,60,0,0.715592406491,-0.000208953480304,60,"Fourteen_bus.mdl/Fourteen_bus.mdl",10
0.0182776252938,60,0,0.715592346716,-0.00022899166437,60,"Fourteen_bus.mdl/Fourteen_bus.mdl",10
0.018549729504,60,0,0.715592281872,-0.000246206168799,60,"Fourteen_bus.mdl/Fourteen_bus.mdl",10
0.0188218337143,60,0,0.715592212729,-0.000260597733932,60,"Fourteen_bus.mdl/Fourteen_bus.mdl",10
0.0190939379245,60,0,0.715592140053,-0.000272189617377,60,"Fourteen_bus.mdl/Fourteen_bus.mdl",10
0.0193660421347,60,0,0.715592064601,-0.000281026340184,60,"Fourteen_bus.mdl/Fourteen_bus.mdl",10
0.019638146345,60,0,0.715591987116,-0.000287171690839,60,"Fourteen_bus.mdl/Fourteen_bus.mdl",10
0.0199102505552,60,0,0.71559190832,-0.000290707613633,60,"Fourteen_bus.mdl/Fourteen_bus.mdl",10
0.0201823547654,60,0,0.71559182891,-0.000291732413804,60,"Fourteen_bus.mdl/Fourteen_bus.mdl",10
0.0204544589756,60,0,0.715591749557,-0.000290359075911,60,"Fourteen_bus.mdl/Fourteen_bus.mdl",10
0.0207265631859,60,0,0.715591670895,-0.00028671339452,60,"Fourteen_bus.mdl/Fourteen_bus.mdl",10
0.0209986673961,60,0,0.715591593525,-0.000280932570019,60,"Fourteen_bus.mdl/Fourteen_bus.mdl",10
0.0212707716063,60,0,0.715591518009,-0.000273163428457,60,"Fourteen_bus.mdl/Fourteen_bus.mdl",10
0.0215428758166,60,0,0.715591444867,-0.000263560749299,60,"Fourteen_bus.mdl/Fourteen_bus.mdl",10
0.0218149800268,60,0,0.715591374577,-0.000252285768829,60,"Fourteen_bus.mdl/Fourteen_bus.mdl",10
0.022087084237,60,0,0.715591307571,-0.000239504421204,60,"Fourteen_bus.mdl/Fourteen_bus.mdl",10
0.0223591884473,60,0,0.715591244236,-0.000225386156845,60,"Fourteen_bus.mdl/Fourteen_bus.mdl",10
0.0226312926575,60,0,0.715591184914,-0.000210102220616,60,"Fourteen_bus.mdl/Fourteen_bus.mdl",10
0.0229033968677,60,0,0.715591129897,-0.000193824447984,60,"Fourteen_bus.mdl/Fourteen_bus.mdl",10
0.023175501078,60,0,0.715591079433,-0.000176724102786,60,"Fourteen_bus.mdl/Fourteen_bus.mdl",10
0.0234476052882,60,0,0.715591033722,-0.000158970469587,60,"Fourteen_bus.mdl/Fourteen_bus.mdl",10
0.0237197094984,60,0,0.71559099292,-0.000140729809565,60,"Fourteen_bus.mdl/Fourteen_bus.mdl",10
0.0239918137086,60,0,0.715590957136,-0.000122164307841,60,"Fourteen_bus.mdl/Fourteen_bus.mdl",10
0.0242639179189,60,0,0.715590926437,-0.000103431271731,60,"Fourteen_bus.mdl/Fourteen_bus.mdl",10
0.0245360221291,60,0,0.715590900848,-8.46818930306e-05,60,"Fourteen_bus.mdl/Fourteen_bus.mdl",10
0.0248081263393,60,0,0.715590880352,-6.60607798272e-05,60,"Fourteen_bus.mdl/Fourteen_bus.mdl",10
0.0250802305496,60,0,0.715590864897,-4.77049933767e-05,60,"Fourteen_bus.mdl/Fourteen_bus.mdl",10
0.0253523347598,60,0,0.715590854391,-2.97434658702e-05,60,"Fourteen_bus.mdl/Fourteen_bus.mdl",10
0.02562443897,60,0,0.71559084871,-1.22965285658e-05,60,"Fourteen_bus.mdl/Fourteen_bus.mdl",10
0.0258965431803,60,0,0.715590847699,4.52473858582e-06,60,"Fourteen_bus.mdl/Fourteen_bus.mdl",10
0.0261686473905,60,0,0.715590851173,2.06191330388e-05,60,"Fourteen_bus.mdl/Fourteen_bus.mdl",10
0.0264407516007,60,0,0.71559085892,3.58954318593e-05,60,"Fourteen_bus.mdl/Fourteen_bus.mdl",10
0.0267128558109,60,0,0.715590870707,5.02725812483e-05,60,"Fourteen_bus.mdl/Fourteen_bus.mdl",10
0.0269849600212,60,0,0.715590886279,6.36804487151e-05,60,"Fourteen_bus.mdl/Fourteen_bus.mdl",10
0.0272570642314,60,0,0.715590905363,7.60595982614e-05,60,"Fourteen_bus.mdl/Fourteen_bus.mdl",10
0.0275291684416,60,0,0.715590927671,8.73615262138e-05,60,"Fourteen_bus.mdl/Fourteen_bus.mdl",10
0.0278012726519,60,0,0.715590952906,9.75485247429e-05,60,"Fourteen_bus.mdl/Fourteen_bus.mdl",10
0.0280733768621,60,0,0.715590980758,0.000106593838133,60,"Fourteen_bus.mdl/Fourteen_bus.mdl",10
0.0283454810723,60,0,0.715591010915,0.00011448160525,60,"Fourteen_bus.mdl/Fourteen_bus.mdl",10
0.0286175852826,60,0,0.71559104306,0.000121206512939,60,"Fourteen_bus.mdl/Fourteen_bus.mdl",10
0.0288896894928,60,0,0.715591076876,0.000126773487966,60,"Fourteen_bus.mdl/Fourteen_bus.mdl",10
0.029161793703,60,0,0.715591112051,0.000131197440588,60,"Fourteen_bus.mdl/Fourteen_bus.mdl",10
0.0294338979132,60,0,0.715591148275,0.000134503028921,60,"Fourteen_bus.mdl/Fourteen_bus.mdl",10
0.0297060021235,60,0,0.715591185249,0.000136723982456,60,"Fourteen_bus.mdl/Fourteen_bus.mdl",10
0.0299781063337,60,0,0.715591222681,0.000137902486771,60,"Fourteen_bus.mdl/Fourteen_bus.mdl",10
0.0302502105439,60,0,0.715591260296,0.000138088627816,60,"Fourteen_bus.mdl/Fourteen_bus.mdl",10
0.0305223147542,60,0,0.71559129783,0.000137340023073,60,"Fourteen_bus.mdl/Fourteen_bus.mdl",10
0.0307944189644,60,0,0.715591335038,0.000135720740313,60,"Fourteen_bus.mdl/Fourteen_bus.mdl",10
0.0310665231746,60,0,0.715591371691,0.000133300408129,60,"Fourteen_bus.mdl/Fourteen_bus.mdl",10
0.0313386273849,60,0,0.715591407581,0.000130153582699,60,"Fourteen_bus.mdl/Fourteen_bus.mdl",10
0.0316107315951,60,0,0.715591442522,0.00012635893951,60,"Fourteen_bus.mdl/Fourteen_bus.mdl",10
0.0318828358053,60,0,0.715591476347,0.000121998275149,60,"Fourteen_bus.mdl/Fourteen_bus.mdl",10
